"UniqueCarrier","N_anul_lotow","Description"
"AA",29677,"American Airlines Inc."
"AQ",173,"Aloha Airlines Inc."
"AS",7506,"Alaska Airlines Inc."
"CO",7296,"Continental Air Lines Inc."
"DL",31569,"Delta Air Lines Inc."
"HP",9422,"America West Airlines Inc."
"NW",15340,"Northwest Airlines Inc."
"TW",5254,"Trans World Airways LLC"
"UA",44159,"United Air Lines Inc."
"US",28055,"US Airways Inc."
"WN",9039,"Southwest Airlines Co."
