"UniqueCarrier","N_anul_lotow","Description"
"AA",11295,"American Airlines Inc."
"AS",1928,"Alaska Airlines Inc."
"CO",8755,"Continental Air Lines Inc."
"DL",12090,"Delta Air Lines Inc."
"HP",3030,"America West Airlines Inc."
"NW",13112,"Northwest Airlines Inc."
"TW",6331,"Trans World Airways LLC"
"UA",13326,"United Air Lines Inc."
"US",13898,"US Airways Inc."
"WN",8140,"Southwest Airlines Co."
