"UniqueCarrier","N_anul_lotow","Description"
"AA",9269,"American Airlines Inc."
"AS",639,"Alaska Airlines Inc."
"CO",5370,"Continental Air Lines Inc."
"DL",8381,"Delta Air Lines Inc."
"HP",1033,"America West Airlines Inc."
"NW",7881,"Northwest Airlines Inc."
"TW",3532,"Trans World Airways LLC"
"UA",6913,"United Air Lines Inc."
"US",14562,"US Airways Inc."
"WN",2265,"Southwest Airlines Co."
