"UniqueCarrier","N_anul_lotow","Description"
"AA",9969,"American Airlines Inc."
"AS",1027,"Alaska Airlines Inc."
"CO",3911,"Continental Air Lines Inc."
"DL",4708,"Delta Air Lines Inc."
"EA",17516,"Eastern Air Lines Inc."
"HP",1126,"America West Airlines Inc."
"NW",5017,"Northwest Airlines Inc."
"PA (1)",974,"Pan American World Airways (1)"
"PI",3367,"Piedmont Aviation Inc."
"TW",3153,"Trans World Airways LLC"
"UA",8912,"United Air Lines Inc."
"US",12406,"US Airways Inc."
"WN",2079,"Southwest Airlines Co."
