"UniqueCarrier","N_anul_lotow","Description"
"AA",14494,"American Airlines Inc."
"AS",3225,"Alaska Airlines Inc."
"CO",9778,"Continental Air Lines Inc."
"DL",17119,"Delta Air Lines Inc."
"HP",4721,"America West Airlines Inc."
"NW",18476,"Northwest Airlines Inc."
"TW",11254,"Trans World Airways LLC"
"UA",19819,"United Air Lines Inc."
"US",20191,"US Airways Inc."
"WN",9459,"Southwest Airlines Co."
