"UniqueCarrier","N_anul_lotow","Description"
"AA",9621,"American Airlines Inc."
"AS",3553,"Alaska Airlines Inc."
"CO",1297,"Continental Air Lines Inc."
"DL",8065,"Delta Air Lines Inc."
"HP",2023,"America West Airlines Inc."
"MQ",12777,"American Eagle Airlines Inc."
"NW",7315,"Northwest Airlines Inc."
"UA",4622,"United Air Lines Inc."
"US",5632,"US Airways Inc."
"WN",10238,"Southwest Airlines Co."
