"UniqueCarrier","N_anul_lotow","Description"
"AA",13479,"American Airlines Inc."
"AS",3072,"Alaska Airlines Inc."
"CO",6741,"Continental Air Lines Inc."
"DL",13743,"Delta Air Lines Inc."
"HP",2767,"America West Airlines Inc."
"NW",13392,"Northwest Airlines Inc."
"TW",5785,"Trans World Airways LLC"
"UA",16867,"United Air Lines Inc."
"US",12778,"US Airways Inc."
"WN",9139,"Southwest Airlines Co."
