"UniqueCarrier","N_anul_lotow","Description"
"AA",12080,"American Airlines Inc."
"AS",3483,"Alaska Airlines Inc."
"B6",308,"JetBlue Airways"
"CO",2339,"Continental Air Lines Inc."
"DH",11012,"Independence Air"
"DL",6943,"Delta Air Lines Inc."
"EV",6505,"Atlantic Southeast Airlines"
"FL",1614,"AirTran Airways Corporation"
"HA",37,"Hawaiian Airlines Inc."
"HP",1983,"America West Airlines Inc."
"MQ",13673,"American Eagle Airlines Inc."
"NW",6114,"Northwest Airlines Inc."
"OO",6501,"Skywest Airlines Inc."
"TZ",855,"ATA Airlines d/b/a ATA"
"UA",5919,"United Air Lines Inc."
"US",6358,"US Airways Inc."
"WN",9718,"Southwest Airlines Co."
"XE",6027,"Expressjet Airlines Inc."
