"UniqueCarrier","N_anul_lotow","Description"
"AA",5031,"American Airlines Inc."
"AS",959,"Alaska Airlines Inc."
"CO",4525,"Continental Air Lines Inc."
"DL",6499,"Delta Air Lines Inc."
"HP",999,"America West Airlines Inc."
"NW",3930,"Northwest Airlines Inc."
"TW",2537,"Trans World Airways LLC"
"UA",7996,"United Air Lines Inc."
"US",18987,"US Airways Inc."
"WN",1373,"Southwest Airlines Co."
