"UniqueCarrier","N_anul_lotow","Description"
"AA",8195,"American Airlines Inc."
"AS",881,"Alaska Airlines Inc."
"CO",7482,"Continental Air Lines Inc."
"DL",9536,"Delta Air Lines Inc."
"HP",1394,"America West Airlines Inc."
"NW",5214,"Northwest Airlines Inc."
"TW",3886,"Trans World Airways LLC"
"UA",8028,"United Air Lines Inc."
"US",19659,"US Airways Inc."
"WN",2465,"Southwest Airlines Co."
