"UniqueCarrier","N_anul_lotow","Description"
"AA",6611,"American Airlines Inc."
"AS",699,"Alaska Airlines Inc."
"CO",4923,"Continental Air Lines Inc."
"DL",4469,"Delta Air Lines Inc."
"EA",6606,"Eastern Air Lines Inc."
"HP",973,"America West Airlines Inc."
"NW",6174,"Northwest Airlines Inc."
"PA (1)",863,"Pan American World Airways (1)"
"PI",4314,"Piedmont Aviation Inc."
"PS",272,"Pacific Southwest Airlines"
"TW",2466,"Trans World Airways LLC"
"UA",5766,"United Air Lines Inc."
"US",4562,"US Airways Inc."
"WN",1465,"Southwest Airlines Co."
