"UniqueCarrier","N_anul_lotow","Description"
"AA",10127,"American Airlines Inc."
"AQ",745,"Aloha Airlines Inc."
"AS",2430,"Alaska Airlines Inc."
"B6",659,"JetBlue Airways"
"CO",1649,"Continental Air Lines Inc."
"DL",7695,"Delta Air Lines Inc."
"EV",6783,"Atlantic Southeast Airlines"
"F9",902,"Frontier Airlines Inc."
"FL",1941,"AirTran Airways Corporation"
"HA",253,"Hawaiian Airlines Inc."
"MQ",19990,"American Eagle Airlines Inc."
"NW",4854,"Northwest Airlines Inc."
"OH",6875,"Comair Inc."
"OO",12844,"Skywest Airlines Inc."
"TZ",227,"ATA Airlines d/b/a ATA"
"UA",10238,"United Air Lines Inc."
"US",5511,"US Airways Inc."
"WN",8951,"Southwest Airlines Co."
"XE",9716,"Expressjet Airlines Inc."
"YV",9544,"Mesa Airlines Inc."
