"UniqueCarrier","N_anul_lotow","Description"
"AA",6764,"American Airlines Inc."
"AS",945,"Alaska Airlines Inc."
"CO",5048,"Continental Air Lines Inc."
"DL",6242,"Delta Air Lines Inc."
"EA",2126,"Eastern Air Lines Inc."
"HP",1605,"America West Airlines Inc."
"NW",5071,"Northwest Airlines Inc."
"PA (1)",660,"Pan American World Airways (1)"
"TW",3457,"Trans World Airways LLC"
"UA",7894,"United Air Lines Inc."
"US",10496,"US Airways Inc."
"WN",2150,"Southwest Airlines Co."
