"UniqueCarrier","N_anul_lotow","Description"
"9E",7939,"Pinnacle Airlines Inc."
"AA",17924,"American Airlines Inc."
"AQ",388,"Aloha Airlines Inc."
"AS",2563,"Alaska Airlines Inc."
"B6",3710,"JetBlue Airways"
"CO",2951,"Continental Air Lines Inc."
"DL",6521,"Delta Air Lines Inc."
"EV",8920,"Atlantic Southeast Airlines"
"F9",398,"Frontier Airlines Inc."
"FL",2602,"AirTran Airways Corporation"
"HA",238,"Hawaiian Airlines Inc."
"MQ",22792,"American Eagle Airlines Inc."
"NW",7814,"Northwest Airlines Inc."
"OH",8851,"Comair Inc."
"OO",14186,"Skywest Airlines Inc."
"UA",11929,"United Air Lines Inc."
"US",8942,"US Airways Inc."
"WN",9993,"Southwest Airlines Co."
"XE",10800,"Expressjet Airlines Inc."
"YV",11287,"Mesa Airlines Inc."
