"UniqueCarrier","N_anul_lotow","Description"
"AA",32230,"American Airlines Inc."
"AQ",1489,"Aloha Airlines Inc."
"AS",5825,"Alaska Airlines Inc."
"CO",10996,"Continental Air Lines Inc."
"DL",32826,"Delta Air Lines Inc."
"HP",6379,"America West Airlines Inc."
"MQ",35382,"American Eagle Airlines Inc."
"NW",17494,"Northwest Airlines Inc."
"TW",5747,"Trans World Airways LLC"
"UA",34522,"United Air Lines Inc."
"US",30616,"US Airways Inc."
"WN",17692,"Southwest Airlines Co."
