"UniqueCarrier","N_anul_lotow","Description"
"AA",28960,"American Airlines Inc."
"AS",5364,"Alaska Airlines Inc."
"CO",8294,"Continental Air Lines Inc."
"DL",21743,"Delta Air Lines Inc."
"HP",5162,"America West Airlines Inc."
"NW",12505,"Northwest Airlines Inc."
"TW",5009,"Trans World Airways LLC"
"UA",27359,"United Air Lines Inc."
"US",32309,"US Airways Inc."
"WN",7606,"Southwest Airlines Co."
