"UniqueCarrier","N_anul_lotow","Description"
"AA",1956,"American Airlines Inc."
"AS",215,"Alaska Airlines Inc."
"CO",2508,"Continental Air Lines Inc."
"DL",2057,"Delta Air Lines Inc."
"EA",2454,"Eastern Air Lines Inc."
"HP",536,"America West Airlines Inc."
"NW",1587,"Northwest Airlines Inc."
"PA (1)",199,"Pan American World Airways (1)"
"PI",1229,"Piedmont Aviation Inc."
"PS",879,"Pacific Southwest Airlines"
"TW",1243,"Trans World Airways LLC"
"UA",3436,"United Air Lines Inc."
"US",755,"US Airways Inc."
"WN",631,"Southwest Airlines Co."
