"UniqueCarrier","N_anul_lotow","Description"
"AA",12402,"American Airlines Inc."
"AS",3670,"Alaska Airlines Inc."
"B6",511,"JetBlue Airways"
"CO",1898,"Continental Air Lines Inc."
"DH",8287,"Independence Air"
"DL",10717,"Delta Air Lines Inc."
"EV",7542,"Atlantic Southeast Airlines"
"FL",2013,"AirTran Airways Corporation"
"HA",162,"Hawaiian Airlines Inc."
"HP",3108,"America West Airlines Inc."
"MQ",17787,"American Eagle Airlines Inc."
"NW",6010,"Northwest Airlines Inc."
"OH",13616,"Comair Inc."
"OO",9784,"Skywest Airlines Inc."
"TZ",717,"ATA Airlines d/b/a ATA"
"UA",6548,"United Air Lines Inc."
"US",6779,"US Airways Inc."
"WN",10103,"Southwest Airlines Co."
"XE",6103,"Expressjet Airlines Inc."
