"UniqueCarrier","N_anul_lotow","Description"
"AA",4951,"American Airlines Inc."
"AS",858,"Alaska Airlines Inc."
"CO",3600,"Continental Air Lines Inc."
"DL",5990,"Delta Air Lines Inc."
"HP",2204,"America West Airlines Inc."
"ML (1)",1342,"Midway Airlines Inc. (1)"
"NW",2741,"Northwest Airlines Inc."
"PA (1)",825,"Pan American World Airways (1)"
"TW",2871,"Trans World Airways LLC"
"UA",8732,"United Air Lines Inc."
"US",6932,"US Airways Inc."
"WN",2459,"Southwest Airlines Co."
