"UniqueCarrier","N_anul_lotow","Description"
"AA",14662,"American Airlines Inc."
"AS",3510,"Alaska Airlines Inc."
"CO",7262,"Continental Air Lines Inc."
"DL",16925,"Delta Air Lines Inc."
"HP",4479,"America West Airlines Inc."
"NW",44270,"Northwest Airlines Inc."
"TW",6563,"Trans World Airways LLC"
"UA",20684,"United Air Lines Inc."
"US",17214,"US Airways Inc."
"WN",8940,"Southwest Airlines Co."
