"Description" "data" "N_anul_lotow"
"American Airlines Inc." 1993-02-18 6
"American Airlines Inc." 1993-02-02 1
"American Airlines Inc." 1993-02-19 2
"American Airlines Inc." 1993-02-24 3
"American Airlines Inc." 1993-03-13 694
"American Airlines Inc." 1993-03-14 475
"American Airlines Inc." 1993-03-04 129
"American Airlines Inc." 1993-03-09 16
"American Airlines Inc." 1993-03-10 82
"American Airlines Inc." 1993-03-31 8
"American Airlines Inc." 1993-03-15 38
"American Airlines Inc." 1993-03-01 3
"American Airlines Inc." 1993-03-05 30
"American Airlines Inc." 1993-03-16 16
"American Airlines Inc." 1993-03-24 22
"American Airlines Inc." 1993-03-20 5
"American Airlines Inc." 1993-03-22 39
"American Airlines Inc." 1993-03-02 25
"American Airlines Inc." 1993-03-28 20
"American Airlines Inc." 1993-03-25 20
"American Airlines Inc." 1993-03-17 11
"American Airlines Inc." 1993-03-19 12
"American Airlines Inc." 1993-03-27 8
"American Airlines Inc." 1993-03-12 17
"American Airlines Inc." 1993-03-29 5
"American Airlines Inc." 1993-03-30 6
"American Airlines Inc." 1993-03-26 8
"American Airlines Inc." 1993-03-11 1
"American Airlines Inc." 1993-03-03 6
"American Airlines Inc." 1993-03-23 5
"American Airlines Inc." 1993-03-07 1
"American Airlines Inc." 1993-03-06 3
"American Airlines Inc." 1993-03-18 3
"American Airlines Inc." 1993-04-01 126
"American Airlines Inc." 1993-04-14 80
"American Airlines Inc." 1993-04-19 90
"American Airlines Inc." 1993-04-16 9
"American Airlines Inc." 1993-04-15 31
"American Airlines Inc." 1993-04-26 9
"American Airlines Inc." 1993-04-07 3
"American Airlines Inc." 1993-04-20 50
"American Airlines Inc." 1993-04-02 6
"American Airlines Inc." 1993-04-08 4
"American Airlines Inc." 1993-04-13 3
"American Airlines Inc." 1993-04-27 3
"American Airlines Inc." 1993-04-09 5
"American Airlines Inc." 1993-04-30 4
"American Airlines Inc." 1993-04-03 2
"American Airlines Inc." 1993-04-29 1
"American Airlines Inc." 1993-04-12 3
"American Airlines Inc." 1993-04-28 1
"American Airlines Inc." 1993-04-22 2
"American Airlines Inc." 1993-05-09 80
"American Airlines Inc." 1993-05-31 1
"American Airlines Inc." 1993-05-08 8
"American Airlines Inc." 1993-05-04 12
"American Airlines Inc." 1993-05-10 5
"American Airlines Inc." 1993-05-06 5
"American Airlines Inc." 1993-05-24 4
"American Airlines Inc." 1993-05-19 1
"American Airlines Inc." 1993-05-05 8
"American Airlines Inc." 1993-05-12 6
"American Airlines Inc." 1993-05-30 2
"American Airlines Inc." 1993-05-01 3
"American Airlines Inc." 1993-05-07 1
"American Airlines Inc." 1993-06-07 75
"American Airlines Inc." 1993-06-25 84
"American Airlines Inc." 1993-06-11 25
"American Airlines Inc." 1993-06-08 57
"American Airlines Inc." 1993-06-09 78
"American Airlines Inc." 1993-06-14 25
"American Airlines Inc." 1993-06-19 16
"American Airlines Inc." 1993-06-10 55
"American Airlines Inc." 1993-06-21 18
"American Airlines Inc." 1993-06-01 3
"American Airlines Inc." 1993-06-26 35
"American Airlines Inc." 1993-06-24 1
"American Airlines Inc." 1993-06-20 3
"American Airlines Inc." 1993-06-27 4
"American Airlines Inc." 1993-06-12 2
"American Airlines Inc." 1993-06-17 1
"American Airlines Inc." 1993-06-23 1
"American Airlines Inc." 1993-06-22 2
"American Airlines Inc." 1993-06-18 2
"American Airlines Inc." 1993-06-02 1
"American Airlines Inc." 1993-07-14 7
"American Airlines Inc." 1993-07-15 8
"American Airlines Inc." 1993-07-19 12
"American Airlines Inc." 1993-07-13 1
"American Airlines Inc." 1993-07-18 109
"American Airlines Inc." 1993-07-25 36
"American Airlines Inc." 1993-07-30 1
"American Airlines Inc." 1993-07-22 2
"American Airlines Inc." 1993-07-07 10
"American Airlines Inc." 1993-08-08 1
"American Airlines Inc." 1993-08-31 48
"American Airlines Inc." 1993-08-23 22
"American Airlines Inc." 1993-08-14 3
"American Airlines Inc." 1993-08-30 76
"American Airlines Inc." 1993-08-16 21
"American Airlines Inc." 1993-08-15 32
"American Airlines Inc." 1993-08-19 1
"American Airlines Inc." 1993-08-24 10
"American Airlines Inc." 1993-08-09 1
"American Airlines Inc." 1993-08-29 2
"American Airlines Inc." 1993-08-04 1
"American Airlines Inc." 1993-08-02 2
"American Airlines Inc." 1993-08-25 1
"American Airlines Inc." 1993-08-17 3
"American Airlines Inc." 1993-08-18 1
"American Airlines Inc." 1993-08-12 2
"American Airlines Inc." 1993-08-22 1
"American Airlines Inc." 1993-09-27 17
"American Airlines Inc." 1993-09-13 49
"American Airlines Inc." 1993-09-09 4
"American Airlines Inc." 1993-09-25 37
"American Airlines Inc." 1993-09-14 2
"American Airlines Inc." 1993-09-17 6
"American Airlines Inc." 1993-09-01 3
"American Airlines Inc." 1993-09-21 4
"American Airlines Inc." 1993-09-02 3
"American Airlines Inc." 1993-09-16 2
"American Airlines Inc." 1993-09-06 2
"American Airlines Inc." 1993-09-05 1
"American Airlines Inc." 1993-09-18 2
"American Airlines Inc." 1993-09-22 1
"American Airlines Inc." 1993-10-19 152
"American Airlines Inc." 1993-10-27 8
"American Airlines Inc." 1993-10-20 60
"American Airlines Inc." 1993-10-14 4
"American Airlines Inc." 1993-10-08 1
"American Airlines Inc." 1993-10-18 5
"American Airlines Inc." 1993-10-16 14
"American Airlines Inc." 1993-10-17 1
"American Airlines Inc." 1993-10-21 3
"American Airlines Inc." 1993-10-10 2
"American Airlines Inc." 1993-10-12 4
"American Airlines Inc." 1993-11-21 478
"American Airlines Inc." 1993-11-26 275
"American Airlines Inc." 1993-11-20 386
"American Airlines Inc." 1993-11-25 143
"American Airlines Inc." 1993-11-18 141
"American Airlines Inc." 1993-11-22 440
"American Airlines Inc." 1993-11-23 408
"American Airlines Inc." 1993-11-24 320
"American Airlines Inc." 1993-11-16 43
"American Airlines Inc." 1993-11-19 94
"American Airlines Inc." 1993-11-27 10
"American Airlines Inc." 1993-11-05 4
"American Airlines Inc." 1993-11-17 4
"American Airlines Inc." 1993-11-14 4
"American Airlines Inc." 1993-11-04 4
"American Airlines Inc." 1993-11-29 2
"American Airlines Inc." 1993-11-03 2
"American Airlines Inc." 1993-11-12 2
"American Airlines Inc." 1993-11-01 2
"American Airlines Inc." 1993-11-28 5
"American Airlines Inc." 1993-12-07 4
"American Airlines Inc." 1993-12-29 35
"American Airlines Inc." 1993-12-30 21
"American Airlines Inc." 1993-12-12 3
"American Airlines Inc." 1993-12-11 17
"American Airlines Inc." 1993-12-14 6
"American Airlines Inc." 1993-12-08 62
"American Airlines Inc." 1993-12-21 19
"American Airlines Inc." 1993-12-16 4
"American Airlines Inc." 1993-12-26 6
"American Airlines Inc." 1993-12-05 5
"American Airlines Inc." 1993-12-15 4
"American Airlines Inc." 1993-12-28 21
"American Airlines Inc." 1993-12-03 11
"American Airlines Inc." 1993-12-23 2
"American Airlines Inc." 1993-12-02 25
"American Airlines Inc." 1993-12-09 7
"American Airlines Inc." 1993-12-20 4
"American Airlines Inc." 1993-12-17 2
"American Airlines Inc." 1993-12-31 1
"American Airlines Inc." 1993-12-10 4
"American Airlines Inc." 1993-12-13 6
"American Airlines Inc." 1993-12-18 4
"American Airlines Inc." 1993-12-22 1
"Alaska Airlines Inc." 1993-01-20 9
"Alaska Airlines Inc." 1993-01-26 9
"Alaska Airlines Inc." 1993-01-27 4
"Alaska Airlines Inc." 1993-01-07 13
"Alaska Airlines Inc." 1993-01-13 11
"Alaska Airlines Inc." 1993-01-30 11
"Alaska Airlines Inc." 1993-01-06 5
"Alaska Airlines Inc." 1993-01-08 3
"Alaska Airlines Inc." 1993-01-15 7
"Alaska Airlines Inc." 1993-01-23 14
"Alaska Airlines Inc." 1993-01-05 3
"Alaska Airlines Inc." 1993-01-09 3
"Alaska Airlines Inc." 1993-01-12 4
"Alaska Airlines Inc." 1993-01-10 7
"Alaska Airlines Inc." 1993-01-04 4
"Alaska Airlines Inc." 1993-01-03 2
"Alaska Airlines Inc." 1993-01-18 7
"Alaska Airlines Inc." 1993-01-16 16
"Alaska Airlines Inc." 1993-01-29 5
"Alaska Airlines Inc." 1993-01-02 4
"Alaska Airlines Inc." 1993-01-19 1
"Alaska Airlines Inc." 1993-01-21 1
"Alaska Airlines Inc." 1993-01-22 17
"Alaska Airlines Inc." 1993-01-25 5
"Alaska Airlines Inc." 1993-01-28 3
"Alaska Airlines Inc." 1993-01-17 8
"Alaska Airlines Inc." 1993-01-01 1
"Alaska Airlines Inc." 1993-01-14 1
"Alaska Airlines Inc." 1993-01-11 2
"Alaska Airlines Inc." 1993-01-24 2
"Alaska Airlines Inc." 1993-02-07 2
"Alaska Airlines Inc." 1993-02-08 1
"Alaska Airlines Inc." 1993-02-05 6
"Alaska Airlines Inc." 1993-02-13 2
"Alaska Airlines Inc." 1993-02-04 10
"Alaska Airlines Inc." 1993-02-12 5
"Alaska Airlines Inc." 1993-02-01 1
"Alaska Airlines Inc." 1993-02-03 11
"Alaska Airlines Inc." 1993-02-23 1
"Alaska Airlines Inc." 1993-02-20 2
"Alaska Airlines Inc." 1993-02-19 2
"Alaska Airlines Inc." 1993-02-18 3
"Alaska Airlines Inc." 1993-02-22 1
"Alaska Airlines Inc." 1993-03-09 4
"Alaska Airlines Inc." 1993-03-01 2
"Alaska Airlines Inc." 1993-03-08 4
"Alaska Airlines Inc." 1993-03-05 1
"Alaska Airlines Inc." 1993-03-19 1
"Alaska Airlines Inc." 1993-03-22 2
"Alaska Airlines Inc." 1993-03-02 1
"Alaska Airlines Inc." 1993-04-01 2
"Alaska Airlines Inc." 1993-04-03 2
"Alaska Airlines Inc." 1993-04-04 1
"Alaska Airlines Inc." 1993-05-12 2
"Alaska Airlines Inc." 1993-05-02 1
"Alaska Airlines Inc." 1993-05-03 3
"Alaska Airlines Inc." 1993-05-04 4
"Alaska Airlines Inc." 1993-05-14 2
"Alaska Airlines Inc." 1993-05-23 2
"Alaska Airlines Inc." 1993-05-30 2
"Alaska Airlines Inc." 1993-05-26 1
"Alaska Airlines Inc." 1993-05-31 1
"Alaska Airlines Inc." 1993-05-15 1
"Alaska Airlines Inc." 1993-06-05 2
"Alaska Airlines Inc." 1993-06-07 2
"Alaska Airlines Inc." 1993-06-02 2
"Alaska Airlines Inc." 1993-06-11 2
"Alaska Airlines Inc." 1993-06-10 1
"Alaska Airlines Inc." 1993-06-19 1
"Alaska Airlines Inc." 1993-06-14 1
"Alaska Airlines Inc." 1993-06-01 1
"Alaska Airlines Inc." 1993-07-19 2
"Alaska Airlines Inc." 1993-07-26 5
"Alaska Airlines Inc." 1993-07-31 2
"Alaska Airlines Inc." 1993-07-02 2
"Alaska Airlines Inc." 1993-07-18 2
"Alaska Airlines Inc." 1993-07-01 2
"Alaska Airlines Inc." 1993-07-14 3
"Alaska Airlines Inc." 1993-07-30 3
"Alaska Airlines Inc." 1993-07-04 2
"Alaska Airlines Inc." 1993-07-28 1
"Alaska Airlines Inc." 1993-07-22 1
"Alaska Airlines Inc." 1993-07-23 1
"Alaska Airlines Inc." 1993-07-29 1
"Alaska Airlines Inc." 1993-07-12 3
"Alaska Airlines Inc." 1993-07-13 1
"Alaska Airlines Inc." 1993-07-15 1
"Alaska Airlines Inc." 1993-07-17 3
"Alaska Airlines Inc." 1993-07-11 2
"Alaska Airlines Inc." 1993-07-16 1
"Alaska Airlines Inc." 1993-08-08 2
"Alaska Airlines Inc." 1993-08-17 2
"Alaska Airlines Inc." 1993-08-26 9
"Alaska Airlines Inc." 1993-08-30 5
"Alaska Airlines Inc." 1993-08-03 2
"Alaska Airlines Inc." 1993-08-25 5
"Alaska Airlines Inc." 1993-08-28 4
"Alaska Airlines Inc." 1993-08-18 2
"Alaska Airlines Inc." 1993-08-09 2
"Alaska Airlines Inc." 1993-08-31 7
"Alaska Airlines Inc." 1993-08-07 2
"Alaska Airlines Inc." 1993-08-27 4
"Alaska Airlines Inc." 1993-08-23 2
"Alaska Airlines Inc." 1993-08-10 1
"Alaska Airlines Inc." 1993-08-06 1
"Alaska Airlines Inc." 1993-08-22 1
"Alaska Airlines Inc." 1993-09-06 2
"Alaska Airlines Inc." 1993-09-10 2
"Alaska Airlines Inc." 1993-09-17 1
"Alaska Airlines Inc." 1993-09-02 3
"Alaska Airlines Inc." 1993-09-20 2
"Alaska Airlines Inc." 1993-09-27 4
"Alaska Airlines Inc." 1993-09-28 4
"Alaska Airlines Inc." 1993-09-22 1
"Alaska Airlines Inc." 1993-09-01 6
"Alaska Airlines Inc." 1993-09-07 4
"Alaska Airlines Inc." 1993-09-04 1
"Alaska Airlines Inc." 1993-09-08 1
"Alaska Airlines Inc." 1993-09-05 2
"Alaska Airlines Inc." 1993-09-21 2
"Alaska Airlines Inc." 1993-09-30 5
"Alaska Airlines Inc." 1993-09-11 1
"Alaska Airlines Inc." 1993-10-08 2
"Alaska Airlines Inc." 1993-10-23 4
"Alaska Airlines Inc." 1993-10-05 5
"Alaska Airlines Inc." 1993-10-06 4
"Alaska Airlines Inc." 1993-10-28 2
"Alaska Airlines Inc." 1993-10-22 3
"Alaska Airlines Inc." 1993-10-30 2
"Alaska Airlines Inc." 1993-10-07 3
"Alaska Airlines Inc." 1993-10-10 2
"Alaska Airlines Inc." 1993-10-27 16
"Alaska Airlines Inc." 1993-10-09 1
"Alaska Airlines Inc." 1993-10-11 4
"Alaska Airlines Inc." 1993-10-14 5
"Alaska Airlines Inc." 1993-10-16 1
"Alaska Airlines Inc." 1993-10-26 4
"Alaska Airlines Inc." 1993-10-12 2
"Alaska Airlines Inc." 1993-10-13 1
"Alaska Airlines Inc." 1993-10-15 1
"Alaska Airlines Inc." 1993-10-04 5
"Alaska Airlines Inc." 1993-10-29 2
"Alaska Airlines Inc." 1993-10-18 2
"Alaska Airlines Inc." 1993-10-25 1
"Alaska Airlines Inc." 1993-11-11 2
"Alaska Airlines Inc." 1993-11-10 6
"Alaska Airlines Inc." 1993-11-22 4
"Alaska Airlines Inc." 1993-11-05 5
"Alaska Airlines Inc." 1993-11-03 2
"Alaska Airlines Inc." 1993-11-16 4
"Alaska Airlines Inc." 1993-11-09 1
"Alaska Airlines Inc." 1993-11-20 4
"Alaska Airlines Inc." 1993-11-21 1
"Alaska Airlines Inc." 1993-11-28 2
"Alaska Airlines Inc." 1993-11-19 1
"Alaska Airlines Inc." 1993-11-26 1
"Alaska Airlines Inc." 1993-11-17 7
"Alaska Airlines Inc." 1993-11-29 2
"Alaska Airlines Inc." 1993-11-18 5
"Alaska Airlines Inc." 1993-11-06 3
"Alaska Airlines Inc." 1993-11-04 4
"Alaska Airlines Inc." 1993-11-25 2
"Alaska Airlines Inc." 1993-11-02 2
"Alaska Airlines Inc." 1993-12-03 5
"Alaska Airlines Inc." 1993-12-09 4
"Alaska Airlines Inc." 1993-12-11 6
"Alaska Airlines Inc." 1993-12-18 8
"Alaska Airlines Inc." 1993-12-21 3
"Alaska Airlines Inc." 1993-12-24 16
"Alaska Airlines Inc." 1993-12-30 2
"Alaska Airlines Inc." 1993-12-31 4
"Alaska Airlines Inc." 1993-12-14 13
"Alaska Airlines Inc." 1993-12-04 2
"Alaska Airlines Inc." 1993-12-05 2
"Alaska Airlines Inc." 1993-12-19 2
"Alaska Airlines Inc." 1993-12-29 2
"Alaska Airlines Inc." 1993-12-22 1
"Alaska Airlines Inc." 1993-12-28 3
"Alaska Airlines Inc." 1993-12-12 1
"Alaska Airlines Inc." 1993-12-02 2
"Alaska Airlines Inc." 1993-12-20 1
"Alaska Airlines Inc." 1993-12-10 6
"Alaska Airlines Inc." 1993-12-26 1
"Alaska Airlines Inc." 1993-12-07 1
"Alaska Airlines Inc." 1993-12-15 1
"Alaska Airlines Inc." 1993-12-17 2
"Alaska Airlines Inc." 1993-12-08 6
"Alaska Airlines Inc." 1993-12-13 2
"Alaska Airlines Inc." 1993-12-23 1
"Alaska Airlines Inc." 1993-12-01 2
"Continental Air Lines Inc." 1993-01-14 14
"Continental Air Lines Inc." 1993-01-06 7
"Continental Air Lines Inc." 1993-01-26 13
"Continental Air Lines Inc." 1993-01-04 10
"Continental Air Lines Inc." 1993-01-11 18
"Continental Air Lines Inc." 1993-01-17 9
"Continental Air Lines Inc." 1993-01-10 16
"Continental Air Lines Inc." 1993-01-07 18
"Continental Air Lines Inc." 1993-01-21 9
"Continental Air Lines Inc." 1993-01-19 33
"Continental Air Lines Inc." 1993-01-08 25
"Continental Air Lines Inc." 1993-01-02 20
"Continental Air Lines Inc." 1993-01-20 16
"Continental Air Lines Inc." 1993-01-03 8
"Continental Air Lines Inc." 1993-01-12 31
"Continental Air Lines Inc." 1993-01-01 13
"Continental Air Lines Inc." 1993-01-23 3
"Continental Air Lines Inc." 1993-01-09 18
"Continental Air Lines Inc." 1993-01-28 10
"Continental Air Lines Inc." 1993-01-18 23
"Continental Air Lines Inc." 1993-01-22 32
"Continental Air Lines Inc." 1993-01-25 6
"Continental Air Lines Inc." 1993-01-27 4
"Continental Air Lines Inc." 1993-01-29 9
"Continental Air Lines Inc." 1993-01-13 25
"Continental Air Lines Inc." 1993-01-05 7
"Continental Air Lines Inc." 1993-01-15 13
"Continental Air Lines Inc." 1993-01-24 2
"Continental Air Lines Inc." 1993-01-31 5
"Continental Air Lines Inc." 1993-01-16 4
"Continental Air Lines Inc." 1993-01-30 2
"Continental Air Lines Inc." 1993-02-13 57
"Continental Air Lines Inc." 1993-02-03 20
"Continental Air Lines Inc." 1993-02-12 138
"Continental Air Lines Inc." 1993-02-26 39
"Continental Air Lines Inc." 1993-02-06 100
"Continental Air Lines Inc." 1993-02-22 76
"Continental Air Lines Inc." 1993-02-23 33
"Continental Air Lines Inc." 1993-02-24 20
"Continental Air Lines Inc." 1993-02-16 127
"Continental Air Lines Inc." 1993-02-21 70
"Continental Air Lines Inc." 1993-02-10 52
"Continental Air Lines Inc." 1993-02-17 12
"Continental Air Lines Inc." 1993-02-15 54
"Continental Air Lines Inc." 1993-02-14 7
"Continental Air Lines Inc." 1993-02-05 9
"Continental Air Lines Inc." 1993-02-04 15
"Continental Air Lines Inc." 1993-02-20 9
"Continental Air Lines Inc." 1993-02-08 7
"Continental Air Lines Inc." 1993-02-25 22
"Continental Air Lines Inc." 1993-02-11 9
"Continental Air Lines Inc." 1993-02-19 5
"Continental Air Lines Inc." 1993-02-01 6
"Continental Air Lines Inc." 1993-02-27 3
"Continental Air Lines Inc." 1993-02-02 2
"Continental Air Lines Inc." 1993-02-09 2
"Continental Air Lines Inc." 1993-02-07 2
"Continental Air Lines Inc." 1993-02-28 2
"Continental Air Lines Inc." 1993-03-04 126
"Continental Air Lines Inc." 1993-03-13 454
"Continental Air Lines Inc." 1993-03-14 454
"Continental Air Lines Inc." 1993-03-26 59
"Continental Air Lines Inc." 1993-03-07 2
"Continental Air Lines Inc." 1993-03-09 8
"Continental Air Lines Inc." 1993-03-15 223
"Continental Air Lines Inc." 1993-03-17 82
"Continental Air Lines Inc." 1993-03-11 41
"Continental Air Lines Inc." 1993-03-23 7
"Continental Air Lines Inc." 1993-03-27 35
"Continental Air Lines Inc." 1993-03-16 157
"Continental Air Lines Inc." 1993-03-05 77
"Continental Air Lines Inc." 1993-03-10 52
"Continental Air Lines Inc." 1993-03-24 52
"Continental Air Lines Inc." 1993-03-18 37
"Continental Air Lines Inc." 1993-03-12 28
"Continental Air Lines Inc." 1993-03-30 20
"Continental Air Lines Inc." 1993-03-22 6
"Continental Air Lines Inc." 1993-03-02 11
"Continental Air Lines Inc." 1993-03-31 8
"Continental Air Lines Inc." 1993-03-29 32
"Continental Air Lines Inc." 1993-03-08 5
"Continental Air Lines Inc." 1993-03-28 23
"Continental Air Lines Inc." 1993-03-19 7
"Continental Air Lines Inc." 1993-03-06 15
"Continental Air Lines Inc." 1993-03-03 16
"Continental Air Lines Inc." 1993-03-25 25
"Continental Air Lines Inc." 1993-03-01 6
"Continental Air Lines Inc." 1993-03-20 1
"Continental Air Lines Inc." 1993-04-04 23
"Continental Air Lines Inc." 1993-04-23 5
"Continental Air Lines Inc." 1993-04-01 56
"Continental Air Lines Inc." 1993-04-25 6
"Continental Air Lines Inc." 1993-04-13 30
"Continental Air Lines Inc." 1993-04-09 10
"Continental Air Lines Inc." 1993-04-17 15
"Continental Air Lines Inc." 1993-04-14 11
"Continental Air Lines Inc." 1993-04-30 3
"Continental Air Lines Inc." 1993-04-27 13
"Continental Air Lines Inc." 1993-04-20 1
"Continental Air Lines Inc." 1993-04-03 41
"Continental Air Lines Inc." 1993-04-15 9
"Continental Air Lines Inc." 1993-04-05 2
"Continental Air Lines Inc." 1993-04-24 2
"Continental Air Lines Inc." 1993-04-16 34
"Continental Air Lines Inc." 1993-04-07 7
"Continental Air Lines Inc." 1993-04-18 1
"Continental Air Lines Inc." 1993-04-08 2
"Continental Air Lines Inc." 1993-04-11 9
"Continental Air Lines Inc." 1993-04-12 10
"Continental Air Lines Inc." 1993-04-02 24
"Continental Air Lines Inc." 1993-04-22 11
"Continental Air Lines Inc." 1993-04-26 26
"Continental Air Lines Inc." 1993-04-06 3
"Continental Air Lines Inc." 1993-04-10 7
"Continental Air Lines Inc." 1993-04-19 1
"Continental Air Lines Inc." 1993-05-04 8
"Continental Air Lines Inc." 1993-05-08 2
"Continental Air Lines Inc." 1993-05-10 1
"Continental Air Lines Inc." 1993-05-13 3
"Continental Air Lines Inc." 1993-05-15 2
"Continental Air Lines Inc." 1993-05-18 1
"Continental Air Lines Inc." 1993-05-12 16
"Continental Air Lines Inc." 1993-05-05 7
"Continental Air Lines Inc." 1993-05-19 8
"Continental Air Lines Inc." 1993-05-20 4
"Continental Air Lines Inc." 1993-05-06 3
"Continental Air Lines Inc." 1993-05-17 1
"Continental Air Lines Inc." 1993-05-03 3
"Continental Air Lines Inc." 1993-05-21 1
"Continental Air Lines Inc." 1993-05-01 2
"Continental Air Lines Inc." 1993-06-20 5
"Continental Air Lines Inc." 1993-06-22 11
"Continental Air Lines Inc." 1993-06-09 25
"Continental Air Lines Inc." 1993-06-10 8
"Continental Air Lines Inc." 1993-06-21 43
"Continental Air Lines Inc." 1993-06-26 1
"Continental Air Lines Inc." 1993-06-27 2
"Continental Air Lines Inc." 1993-06-06 2
"Continental Air Lines Inc." 1993-06-28 2
"Continental Air Lines Inc." 1993-06-01 6
"Continental Air Lines Inc." 1993-06-05 1
"Continental Air Lines Inc." 1993-06-08 2
"Continental Air Lines Inc." 1993-06-25 3
"Continental Air Lines Inc." 1993-06-14 1
"Continental Air Lines Inc." 1993-07-28 11
"Continental Air Lines Inc." 1993-07-22 4
"Continental Air Lines Inc." 1993-07-14 3
"Continental Air Lines Inc." 1993-07-21 2
"Continental Air Lines Inc." 1993-07-29 3
"Continental Air Lines Inc." 1993-07-27 4
"Continental Air Lines Inc." 1993-07-15 2
"Continental Air Lines Inc." 1993-07-19 10
"Continental Air Lines Inc." 1993-07-26 5
"Continental Air Lines Inc." 1993-07-30 2
"Continental Air Lines Inc." 1993-07-16 2
"Continental Air Lines Inc." 1993-07-10 1
"Continental Air Lines Inc." 1993-08-31 6
"Continental Air Lines Inc." 1993-08-16 17
"Continental Air Lines Inc." 1993-08-24 4
"Continental Air Lines Inc." 1993-08-04 4
"Continental Air Lines Inc." 1993-08-03 4
"Continental Air Lines Inc." 1993-08-07 1
"Continental Air Lines Inc." 1993-08-06 1
"Continental Air Lines Inc." 1993-08-17 21
"Continental Air Lines Inc." 1993-08-18 3
"Continental Air Lines Inc." 1993-08-14 4
"Continental Air Lines Inc." 1993-08-25 4
"Continental Air Lines Inc." 1993-08-09 2
"Continental Air Lines Inc." 1993-08-13 4
"Continental Air Lines Inc." 1993-08-12 2
"Continental Air Lines Inc." 1993-08-20 1
"Continental Air Lines Inc." 1993-08-29 1
"Continental Air Lines Inc." 1993-08-28 3
"Continental Air Lines Inc." 1993-09-21 42
"Continental Air Lines Inc." 1993-09-10 4
"Continental Air Lines Inc." 1993-09-13 20
"Continental Air Lines Inc." 1993-09-04 27
"Continental Air Lines Inc." 1993-09-05 3
"Continental Air Lines Inc." 1993-09-27 89
"Continental Air Lines Inc." 1993-09-09 12
"Continental Air Lines Inc." 1993-09-08 6
"Continental Air Lines Inc." 1993-09-18 15
"Continental Air Lines Inc." 1993-09-22 5
"Continental Air Lines Inc." 1993-09-30 5
"Continental Air Lines Inc." 1993-09-07 5
"Continental Air Lines Inc." 1993-09-02 13
"Continental Air Lines Inc." 1993-09-01 57
"Continental Air Lines Inc." 1993-09-17 23
"Continental Air Lines Inc." 1993-09-03 17
"Continental Air Lines Inc." 1993-09-28 4
"Continental Air Lines Inc." 1993-09-26 8
"Continental Air Lines Inc." 1993-09-16 6
"Continental Air Lines Inc." 1993-09-24 6
"Continental Air Lines Inc." 1993-09-29 1
"Continental Air Lines Inc." 1993-09-06 2
"Continental Air Lines Inc." 1993-09-14 2
"Continental Air Lines Inc." 1993-09-15 4
"Continental Air Lines Inc." 1993-09-20 3
"Continental Air Lines Inc." 1993-09-23 2
"Continental Air Lines Inc." 1993-09-11 2
"Continental Air Lines Inc." 1993-09-19 1
"Continental Air Lines Inc." 1993-10-07 2
"Continental Air Lines Inc." 1993-10-04 9
"Continental Air Lines Inc." 1993-10-10 2
"Continental Air Lines Inc." 1993-10-02 2
"Continental Air Lines Inc." 1993-10-22 3
"Continental Air Lines Inc." 1993-10-21 28
"Continental Air Lines Inc." 1993-10-31 9
"Continental Air Lines Inc." 1993-10-29 18
"Continental Air Lines Inc." 1993-10-20 27
"Continental Air Lines Inc." 1993-10-15 19
"Continental Air Lines Inc." 1993-10-16 19
"Continental Air Lines Inc." 1993-10-05 7
"Continental Air Lines Inc." 1993-10-09 9
"Continental Air Lines Inc." 1993-10-12 23
"Continental Air Lines Inc." 1993-10-01 1
"Continental Air Lines Inc." 1993-10-06 4
"Continental Air Lines Inc." 1993-10-08 17
"Continental Air Lines Inc." 1993-10-14 1
"Continental Air Lines Inc." 1993-10-30 10
"Continental Air Lines Inc." 1993-10-26 12
"Continental Air Lines Inc." 1993-10-27 14
"Continental Air Lines Inc." 1993-10-17 6
"Continental Air Lines Inc." 1993-10-13 3
"Continental Air Lines Inc." 1993-10-18 10
"Continental Air Lines Inc." 1993-10-28 4
"Continental Air Lines Inc." 1993-10-19 6
"Continental Air Lines Inc." 1993-10-24 1
"Continental Air Lines Inc." 1993-11-01 21
"Continental Air Lines Inc." 1993-11-02 9
"Continental Air Lines Inc." 1993-11-06 7
"Continental Air Lines Inc." 1993-11-18 10
"Continental Air Lines Inc." 1993-11-20 1
"Continental Air Lines Inc." 1993-11-05 10
"Continental Air Lines Inc." 1993-11-17 27
"Continental Air Lines Inc." 1993-11-19 6
"Continental Air Lines Inc." 1993-11-16 11
"Continental Air Lines Inc." 1993-11-12 9
"Continental Air Lines Inc." 1993-11-24 21
"Continental Air Lines Inc." 1993-11-23 38
"Continental Air Lines Inc." 1993-11-14 48
"Continental Air Lines Inc." 1993-11-26 6
"Continental Air Lines Inc." 1993-11-09 22
"Continental Air Lines Inc." 1993-11-10 5
"Continental Air Lines Inc." 1993-11-04 6
"Continental Air Lines Inc." 1993-11-25 3
"Continental Air Lines Inc." 1993-11-15 8
"Continental Air Lines Inc." 1993-11-03 4
"Continental Air Lines Inc." 1993-11-30 2
"Continental Air Lines Inc." 1993-11-28 7
"Continental Air Lines Inc." 1993-11-08 3
"Continental Air Lines Inc." 1993-11-27 1
"Continental Air Lines Inc." 1993-11-29 1
"Continental Air Lines Inc." 1993-11-13 1
"Continental Air Lines Inc." 1993-12-21 43
"Continental Air Lines Inc." 1993-12-19 12
"Continental Air Lines Inc." 1993-12-30 64
"Continental Air Lines Inc." 1993-12-15 21
"Continental Air Lines Inc." 1993-12-14 12
"Continental Air Lines Inc." 1993-12-29 39
