"Description" "data" "N_anul_lotow"
"Continental Air Lines Inc." 1987-10-03 4
"Continental Air Lines Inc." 1987-10-06 3
"Continental Air Lines Inc." 1987-10-17 4
"Continental Air Lines Inc." 1987-10-05 2
"Continental Air Lines Inc." 1987-10-08 3
"Continental Air Lines Inc." 1987-10-31 13
"Continental Air Lines Inc." 1987-10-30 7
"Continental Air Lines Inc." 1987-10-11 4
"Continental Air Lines Inc." 1987-10-16 6
"Continental Air Lines Inc." 1987-10-18 5
"Continental Air Lines Inc." 1987-10-24 4
"Continental Air Lines Inc." 1987-10-10 11
"Continental Air Lines Inc." 1987-10-19 9
"Continental Air Lines Inc." 1987-10-09 6
"Continental Air Lines Inc." 1987-10-27 3
"Continental Air Lines Inc." 1987-10-23 4
"Continental Air Lines Inc." 1987-10-14 2
"Continental Air Lines Inc." 1987-10-29 1
"Continental Air Lines Inc." 1987-10-01 2
"Continental Air Lines Inc." 1987-10-02 1
"Continental Air Lines Inc." 1987-10-21 2
"Continental Air Lines Inc." 1987-10-07 1
"Continental Air Lines Inc." 1987-10-25 1
"Continental Air Lines Inc." 1987-10-04 1
"Continental Air Lines Inc." 1987-11-11 95
"Continental Air Lines Inc." 1987-11-30 4
"Continental Air Lines Inc." 1987-11-12 55
"Continental Air Lines Inc." 1987-11-29 4
"Continental Air Lines Inc." 1987-11-21 5
"Continental Air Lines Inc." 1987-11-04 3
"Continental Air Lines Inc." 1987-11-14 8
"Continental Air Lines Inc." 1987-11-26 44
"Continental Air Lines Inc." 1987-11-15 325
"Continental Air Lines Inc." 1987-11-27 4
"Continental Air Lines Inc." 1987-11-16 153
"Continental Air Lines Inc." 1987-11-01 3
"Continental Air Lines Inc." 1987-11-17 15
"Continental Air Lines Inc." 1987-11-24 1
"Continental Air Lines Inc." 1987-11-19 13
"Continental Air Lines Inc." 1987-11-08 4
"Continental Air Lines Inc." 1987-11-25 5
"Continental Air Lines Inc." 1987-11-02 3
"Continental Air Lines Inc." 1987-11-22 5
"Continental Air Lines Inc." 1987-11-18 6
"Continental Air Lines Inc." 1987-11-05 3
"Continental Air Lines Inc." 1987-11-23 6
"Continental Air Lines Inc." 1987-11-03 1
"Continental Air Lines Inc." 1987-11-07 2
"Continental Air Lines Inc." 1987-11-28 2
"Continental Air Lines Inc." 1987-11-13 1
"Continental Air Lines Inc." 1987-11-20 2
"Continental Air Lines Inc." 1987-11-06 1
"Continental Air Lines Inc." 1987-11-10 6
"Continental Air Lines Inc." 1987-12-15 91
"Continental Air Lines Inc." 1987-12-02 22
"Continental Air Lines Inc." 1987-12-28 159
"Continental Air Lines Inc." 1987-12-20 11
"Continental Air Lines Inc." 1987-12-29 110
"Continental Air Lines Inc." 1987-12-16 14
"Continental Air Lines Inc." 1987-12-30 35
"Continental Air Lines Inc." 1987-12-17 9
"Continental Air Lines Inc." 1987-12-21 12
"Continental Air Lines Inc." 1987-12-24 113
"Continental Air Lines Inc." 1987-12-12 11
"Continental Air Lines Inc." 1987-12-22 7
"Continental Air Lines Inc." 1987-12-25 24
"Continental Air Lines Inc." 1987-12-31 14
"Continental Air Lines Inc." 1987-12-18 7
"Continental Air Lines Inc." 1987-12-04 29
"Continental Air Lines Inc." 1987-12-27 530
"Continental Air Lines Inc." 1987-12-13 79
"Continental Air Lines Inc." 1987-12-14 109
"Continental Air Lines Inc." 1987-12-11 24
"Continental Air Lines Inc." 1987-12-23 74
"Continental Air Lines Inc." 1987-12-03 1
"Continental Air Lines Inc." 1987-12-26 16
"Continental Air Lines Inc." 1987-12-10 5
"Continental Air Lines Inc." 1987-12-07 6
