"Description" "polaczenie" "Distance" "ilosc_lotow"
"United Air Lines Inc." "Chicago(IL) - Covington(KY)" 264 33719
"United Air Lines Inc." "Ontario(CA) - Chicago(IL)" 1700 15614
"United Air Lines Inc." "Chicago(IL) - New York(NY)" 740 3099
"United Air Lines Inc." "Chicago(IL) - Burlington(VT)" 763 16720
"United Air Lines Inc." "Denver(CO) - Philadelphia(PA)" 1557 28273
"United Air Lines Inc." "Santa Barbara(CA) - Denver(CO)" 916 6206
"United Air Lines Inc." "Bangor(ME) - Portland(ME)" 109 1933
"United Air Lines Inc." "Chicago(IL) - Bangor(ME)" 978 2354
"United Air Lines Inc." "Portland(ME) - Chicago(IL)" 900 13994
"United Air Lines Inc." "Chicago(IL) - Saginaw(MI)" 222 18637
"United Air Lines Inc." "Allentown(PA) - Chicago(IL)" 654 17051
"United Air Lines Inc." "Chantilly(VA) - Harrisburg(PA)" 94 30
"United Air Lines Inc." "Harrisburg(PA) - Chicago(IL)" 594 20189
"United Air Lines Inc." "Philadelphia(PA) - Allentown(PA)" 55 29
"United Air Lines Inc." "Chicago(IL) - Portland(ME)" 900 12428
"United Air Lines Inc." "Portland(ME) - Bangor(ME)" 109 223
"United Air Lines Inc." "Windsor Locks(CT) - Burlington(VT)" 177 83
"United Air Lines Inc." "Boise(ID) - San Francisco(CA)" 522 20286
"United Air Lines Inc." "Denver(CO) - Boise(ID)" 649 24840
"United Air Lines Inc." "St Louis(MO) - Denver(CO)" 770 26409
"United Air Lines Inc." "Chicago(IL) - Raleigh(NC)" 647 18473
"United Air Lines Inc." "Raleigh(NC) - Chantilly(VA)" 224 2232
"United Air Lines Inc." "Chicago(IL) - New Orleans(LA)" 837 19851
"United Air Lines Inc." "Greensboro(NC) - Wilmington(NC)" 171 398
"United Air Lines Inc." "Kansas City(MO) - Chicago(IL)" 403 36573
"United Air Lines Inc." "Chicago(IL) - Greensboro(NC)" 590 19115
"United Air Lines Inc." "Louisville(KY) - Chicago(IL)" 286 13822
"United Air Lines Inc." "Philadelphia(PA) - Denver(CO)" 1557 28507
"United Air Lines Inc." "Covington(KY) - Chicago(IL)" 264 34055
"United Air Lines Inc." "Chicago(IL) - Minneapolis(MN)" 334 91469
"United Air Lines Inc." "Indianapolis(IN) - Chicago(IL)" 177 41314
"United Air Lines Inc." "Akron(OH) - Chicago(IL)" 344 989
"United Air Lines Inc." "Dallas-Fort Worth(TX) - Houston(TX)" 224 256
"United Air Lines Inc." "Seattle(WA) - Dallas-Fort Worth(TX)" 1660 325
"United Air Lines Inc." "Dallas-Fort Worth(TX) - Seattle(WA)" 1660 334
"United Air Lines Inc." "Houston(TX) - Dallas-Fort Worth(TX)" 224 271
"United Air Lines Inc." "Billings(MT) - Great Falls(MT)" 177 4441
"United Air Lines Inc." "Denver(CO) - Billings(MT)" 455 15892
"United Air Lines Inc." "San Francisco(CA) - Salt Lake City(UT)" 599 18835
"United Air Lines Inc." "Salt Lake City(UT) - Denver(CO)" 391 37025
"United Air Lines Inc." "Chantilly(VA) - Denver(CO)" 1452 48455
"United Air Lines Inc." "Chicago(IL) - Jackson(MS)" 677 234
"United Air Lines Inc." "Boston(MA) - Denver(CO)" 1754 32386
"United Air Lines Inc." "Denver(CO) - Boston(MA)" 1754 33464
"United Air Lines Inc." "Chicago(IL) - Santa Barbara(CA)" 1803 29
"United Air Lines Inc." "Albuquerque(NM) - Denver(CO)" 349 46127
"United Air Lines Inc." "Denver(CO) - Wichita(KS)" 419 18253
"United Air Lines Inc." "Great Falls(MT) - Billings(MT)" 177 4531
"United Air Lines Inc." "Wichita(KS) - Little Rock(AR)" 354 328
"United Air Lines Inc." "Buffalo(NY) - Chicago(IL)" 473 31212
"United Air Lines Inc." "Denver(CO) - Oklahoma City(OK)" 495 28497
"United Air Lines Inc." "San Diego(CA) - Chicago(IL)" 1723 35883
"United Air Lines Inc." "Santa Ana(CA) - San Diego(CA)" 76 147
"United Air Lines Inc." "Dayton(OH) - Chicago(IL)" 240 28754
"United Air Lines Inc." "Casper(WY) - Denver(CO)" 230 30
"United Air Lines Inc." "Eugene(OR) - Denver(CO)" 997 8747
"United Air Lines Inc." "Omaha(NE) - Chicago(IL)" 416 35942
"United Air Lines Inc." "Chicago(IL) - Wichita(KS)" 588 17224
"United Air Lines Inc." "Santa Ana(CA) - Ontario(CA)" 30 167
"United Air Lines Inc." "Burlington(VT) - Chicago(IL)" 763 15463
"United Air Lines Inc." "Manchester(NH) - Burlington(VT)" 136 629
"United Air Lines Inc." "Boise(ID) - Denver(CO)" 649 24725
"United Air Lines Inc." "Denver(CO) - Detroit(MI)" 1123 22739
"United Air Lines Inc." "Detroit(MI) - Cleveland(OH)" 95 641
"United Air Lines Inc." "Tucson(AZ) - Denver(CO)" 639 18667
"United Air Lines Inc." "Miami(FL) - Tampa(FL)" 204 197
"United Air Lines Inc." "Chicago(IL) - Tulsa(OK)" 585 4154
"United Air Lines Inc." "Tampa(FL) - Chicago(IL)" 1012 30973
"United Air Lines Inc." "Tulsa(OK) - Little Rock(AR)" 230 3494
"United Air Lines Inc." "Chicago(IL) - Miami(FL)" 1197 24374
"United Air Lines Inc." "Detroit(MI) - Denver(CO)" 1123 21980
"United Air Lines Inc." "Denver(CO) - Kansas City(MO)" 533 42284
"United Air Lines Inc." "Cleveland(OH) - Detroit(MI)" 95 906
"United Air Lines Inc." "Oakland(CA) - Las Vegas(NV)" 407 212
"United Air Lines Inc." "Chicago(IL) - Rochester(NY)" 528 31395
"United Air Lines Inc." "Austin(TX) - Denver(CO)" 775 17318
"United Air Lines Inc." "Houston(TX) - Austin(TX)" 140 206
"United Air Lines Inc." "Ontario(CA) - Denver(CO)" 819 30770
"United Air Lines Inc." "Islip(NY) - Chicago(IL)" 773 59
"United Air Lines Inc." "Chicago(IL) - Albuquerque(NM)" 1118 918
"United Air Lines Inc." "Chicago(IL) - Allentown(PA)" 654 15396
"United Air Lines Inc." "Minneapolis(MN) - Chicago(IL)" 334 89289
"United Air Lines Inc." "Denver(CO) - San Antonio(TX)" 794 18572
"United Air Lines Inc." "Phoenix(AZ) - Los Angeles(CA)" 370 21581
"United Air Lines Inc." "San Antonio(TX) - Austin(TX)" 66 936
"United Air Lines Inc." "San Antonio(TX) - Denver(CO)" 794 19086
"United Air Lines Inc." "Denver(CO) - Lincoln(NE)" 423 10372
"United Air Lines Inc." "Lincoln(NE) - Sioux City(IA)" 109 3958
"United Air Lines Inc." "Raleigh(NC) - Chicago(IL)" 647 18641
"United Air Lines Inc." "Chicago(IL) - Las Vegas(NV)" 1515 36058
"United Air Lines Inc." "Burlington(VT) - Manchester(NH)" 136 2184
"United Air Lines Inc." "Birmingham(AL) - Chicago(IL)" 584 5872
"United Air Lines Inc." "Oklahoma City(OK) - Denver(CO)" 495 30412
"United Air Lines Inc." "Chicago(IL) - Oklahoma City(OK)" 693 6470
"United Air Lines Inc." "Syracuse(NY) - Chicago(IL)" 607 17528
"United Air Lines Inc." "Chicago(IL) - St Louis(MO)" 258 33749
"United Air Lines Inc." "Denver(CO) - Memphis(TN)" 872 649
"United Air Lines Inc." "Memphis(TN) - Jackson(MS)" 189 751
"United Air Lines Inc." "Indianapolis(IN) - Denver(CO)" 977 19634
"United Air Lines Inc." "Denver(CO) - Eugene(OR)" 997 8516
"United Air Lines Inc." "Chicago(IL) - Knoxville(TN)" 475 12640
"United Air Lines Inc." "Denver(CO) - St Louis(MO)" 770 24999
"United Air Lines Inc." "Richmond(VA) - Chicago(IL)" 642 22351
"United Air Lines Inc." "Denver(CO) - Miami(FL)" 1709 13387
"United Air Lines Inc." "Miami(FL) - Ft. Lauderdale(FL)" 21 681
"United Air Lines Inc." "Denver(CO) - Albuquerque(NM)" 349 45958
"United Air Lines Inc." "Denver(CO) - Salt Lake City(UT)" 391 39831
"United Air Lines Inc." "Wichita(KS) - Denver(CO)" 419 17813
"United Air Lines Inc." "Ft. Lauderdale(FL) - Miami(FL)" 21 503
"United Air Lines Inc." "Chicago(IL) - Ft. Lauderdale(FL)" 1182 17691
"United Air Lines Inc." "Minneapolis(MN) - Denver(CO)" 680 43944
"United Air Lines Inc." "Chicago(IL) - Tampa(FL)" 1012 31179
"United Air Lines Inc." "Chicago(IL) - Richmond(VA)" 642 22784
"United Air Lines Inc." "Richmond(VA) - Chantilly(VA)" 99 91
"United Air Lines Inc." "Chicago(IL) - Boise(ID)" 1437 10228
"United Air Lines Inc." "West Palm Beach(FL) - Chicago(IL)" 1144 8127
"United Air Lines Inc." "Denver(CO) - New Orleans(LA)" 1062 19348
"United Air Lines Inc." "Chicago(IL) - Akron(OH)" 344 978
"United Air Lines Inc." "Columbia(SC) - Charlotte(NC)" 88 2310
"United Air Lines Inc." "Charlotte(NC) - Chicago(IL)" 599 25987
"United Air Lines Inc." "Sioux Falls(SD) - Fargo(ND)" 230 2571
"United Air Lines Inc." "Sioux Falls(SD) - Rapid City(SD)" 317 4067
"United Air Lines Inc." "Chicago(IL) - Sioux Falls(SD)" 462 6476
"United Air Lines Inc." "Santa Ana(CA) - Chicago(IL)" 1726 25904
"United Air Lines Inc." "Denver(CO) - Tulsa(OK)" 541 23739
"United Air Lines Inc." "Denver(CO) - Rapid City(SD)" 301 30
"United Air Lines Inc." "Windsor Locks(CT) - Chantilly(VA)" 326 17821
"United Air Lines Inc." "Chicago(IL) - Santa Ana(CA)" 1726 29772
"United Air Lines Inc." "Cedar Rapids(IA) - Des Moines(IA)" 104 1
"United Air Lines Inc." "Des Moines(IA) - Denver(CO)" 589 29172
"United Air Lines Inc." "Moline(IL) - Des Moines(IA)" 164 58
"United Air Lines Inc." "Chicago(IL) - Harrisburg(PA)" 594 21750
"United Air Lines Inc." "Tucson(AZ) - Chicago(IL)" 1437 2369
"United Air Lines Inc." "Oakland(CA) - Sacramento(CA)" 75 701
"United Air Lines Inc." "Jackson(MS) - Chicago(IL)" 677 236
"United Air Lines Inc." "New Orleans(LA) - Jackson(MS)" 160 460
"United Air Lines Inc." "Charlotte(NC) - Charleston(SC)" 168 195
"United Air Lines Inc." "Chicago(IL) - Charlotte(NC)" 599 25657
"United Air Lines Inc." "Oakland(CA) - Chicago(IL)" 1835 25452
"United Air Lines Inc." "San Francisco(CA) - Oakland(CA)" 11 1358
"United Air Lines Inc." "Miami(FL) - Denver(CO)" 1709 13367
"United Air Lines Inc." "Chicago(IL) - Ft. Myers(FL)" 1120 10936
"United Air Lines Inc." "Chicago(IL) - Sarasota(FL)" 1050 1723
"United Air Lines Inc." "Ft. Myers(FL) - Sarasota(FL)" 77 54
"United Air Lines Inc." "Sarasota(FL) - Ft. Myers(FL)" 77 171
"United Air Lines Inc." "Charleston(SC) - Chicago(IL)" 760 3430
"United Air Lines Inc." "Savannah(GA) - Charleston(SC)" 86 5021
"United Air Lines Inc." "Albany(NY) - Burlington(VT)" 124 3
"United Air Lines Inc." "Chicago(IL) - Albany(NY)" 723 21511
"United Air Lines Inc." "Denver(CO) - Palm Springs(CA)" 776 6849
"United Air Lines Inc." "Palm Springs(CA) - Denver(CO)" 776 6907
"United Air Lines Inc." "Providence(RI) - Chicago(IL)" 849 26459
"United Air Lines Inc." "Dallas-Fort Worth(TX) - New Orleans(LA)" 448 237
"United Air Lines Inc." "San Francisco(CA) - Dallas-Fort Worth(TX)" 1464 8605
"United Air Lines Inc." "Charlotte(NC) - Columbia(SC)" 88 2187
"United Air Lines Inc." "Oklahoma City(OK) - Chicago(IL)" 693 6624
"United Air Lines Inc." "Chicago(IL) - Norfolk(VA)" 717 15571
"United Air Lines Inc." "New Orleans(LA) - Denver(CO)" 1062 19424
"United Air Lines Inc." "Dallas-Fort Worth(TX) - San Francisco(CA)" 1464 8613
"United Air Lines Inc." "New Orleans(LA) - Dallas-Fort Worth(TX)" 448 252
"United Air Lines Inc." "Chicago(IL) - Memphis(TN)" 491 15513
"United Air Lines Inc." "El Paso(TX) - Albuquerque(NM)" 223 669
"United Air Lines Inc." "Cedar Rapids(IA) - Denver(CO)" 692 9291
"United Air Lines Inc." "Denver(CO) - Spokane(WA)" 836 19405
"United Air Lines Inc." "Peoria(IL) - Cedar Rapids(IA)" 135 254
"United Air Lines Inc." "Denver(CO) - Madison(WI)" 826 643
"United Air Lines Inc." "Oakland(CA) - Denver(CO)" 957 34809
"United Air Lines Inc." "Rapid City(SD) - Denver(CO)" 301 30
"United Air Lines Inc." "Akron(OH) - Cleveland(OH)" 40 198
"United Air Lines Inc." "Charleston(WV) - Cleveland(OH)" 210 66
"United Air Lines Inc." "Chicago(IL) - Charleston(WV)" 416 173
"United Air Lines Inc." "Chicago(IL) - Kansas City(MO)" 403 38840
"United Air Lines Inc." "Salt Lake City(UT) - Chicago(IL)" 1249 23167
"United Air Lines Inc." "Chicago(IL) - Colorado Springs(CO)" 911 10083
"United Air Lines Inc." "Albany(NY) - Manchester(NH)" 121 282
"United Air Lines Inc." "Chicago(IL) - Spokane(WA)" 1498 11230
"United Air Lines Inc." "Phoenix(AZ) - Tucson(AZ)" 110 5329
"United Air Lines Inc." "Sarasota(FL) - Chicago(IL)" 1050 1621
"United Air Lines Inc." "Denver(CO) - Santa Barbara(CA)" 916 6116
"United Air Lines Inc." "Spokane(WA) - Chicago(IL)" 1498 11629
"United Air Lines Inc." "Charleston(SC) - Savannah(GA)" 86 4617
"United Air Lines Inc." "Fargo(ND) - Sioux Falls(SD)" 230 2622
"United Air Lines Inc." "Sioux Falls(SD) - Chicago(IL)" 462 6657
"United Air Lines Inc." "Chicago(IL) - Charleston(SC)" 760 3072
"United Air Lines Inc." "Rapid City(SD) - Sioux Falls(SD)" 317 4188
"United Air Lines Inc." "Denver(CO) - Indianapolis(IN)" 977 19734
"United Air Lines Inc." "Chantilly(VA) - Orlando(FL)" 758 31930
"United Air Lines Inc." "Chantilly(VA) - Tampa(FL)" 810 18733
"United Air Lines Inc." "Monterey(CA) - Los Angeles(CA)" 267 1078
"United Air Lines Inc." "San Francisco(CA) - Monterey(CA)" 77 12460
"United Air Lines Inc." "Little Rock(AR) - Chicago(IL)" 552 780
"United Air Lines Inc." "Tampa(FL) - West Palm Beach(FL)" 174 420
"United Air Lines Inc." "Kansas City(MO) - Topeka(KS)" 56 29
"United Air Lines Inc." "Huntsville(AL) - Chicago(IL)" 510 4575
"United Air Lines Inc." "Denver(CO) - Casper(WY)" 230 28
"United Air Lines Inc." "Medford(OR) - San Francisco(CA)" 329 18541
"United Air Lines Inc." "Los Angeles(CA) - Santa Barbara(CA)" 89 1240
"United Air Lines Inc." "Palm Springs(CA) - Santa Barbara(CA)" 196 91
"United Air Lines Inc." "Santa Barbara(CA) - Chicago(IL)" 1803 29
"United Air Lines Inc." "Santa Barbara(CA) - Palm Springs(CA)" 196 66
"United Air Lines Inc." "Tucson(AZ) - Phoenix(AZ)" 110 5363
"United Air Lines Inc." "Chantilly(VA) - Cleveland(OH)" 288 5473
"United Air Lines Inc." "Orlando(FL) - Chantilly(VA)" 758 31420
"United Air Lines Inc." "Chantilly(VA) - Newark(NJ)" 213 8643
"United Air Lines Inc." "Newark(NJ) - Chantilly(VA)" 213 9084
"United Air Lines Inc." "Chantilly(VA) - Ft. Lauderdale(FL)" 901 5942
"United Air Lines Inc." "Tampa(FL) - Chantilly(VA)" 810 19171
"United Air Lines Inc." "Colorado Springs(CO) - Chicago(IL)" 911 11147
"United Air Lines Inc." "Denver(CO) - Colorado Springs(CO)" 72 37298
"United Air Lines Inc." "Sacramento(CA) - San Francisco(CA)" 86 2228
"United Air Lines Inc." "Chantilly(VA) - Boston(MA)" 413 41972
"United Air Lines Inc." "Harrisburg(PA) - Chantilly(VA)" 94 29
"United Air Lines Inc." "Denver(CO) - Minneapolis(MN)" 680 41264
"United Air Lines Inc." "Chantilly(VA) - Windsor Locks(CT)" 326 16463
"United Air Lines Inc." "Chantilly(VA) - Richmond(VA)" 99 94
"United Air Lines Inc." "Dallas-Fort Worth(TX) - Chicago(IL)" 802 43413
"United Air Lines Inc." "Fargo(ND) - Denver(CO)" 627 1776
"United Air Lines Inc." "Houston(TX) - Denver(CO)" 861 31672
"United Air Lines Inc." "Spokane(WA) - Denver(CO)" 836 19667
"United Air Lines Inc." "Memphis(TN) - Denver(CO)" 872 605
"United Air Lines Inc." "Bakersfield(CA) - San Francisco(CA)" 238 52
"United Air Lines Inc." "Santa Barbara(CA) - Bakersfield(CA)" 82 26
"United Air Lines Inc." "San Francisco(CA) - Reno(NV)" 192 17560
"United Air Lines Inc." "Chicago(IL) - Austin(TX)" 978 11839
"United Air Lines Inc." "Albuquerque(NM) - El Paso(TX)" 223 673
"United Air Lines Inc." "West Palm Beach(FL) - Tampa(FL)" 174 432
"United Air Lines Inc." "Chicago(IL) - Arlington(VA)" 612 102054
"United Air Lines Inc." "Arlington(VA) - Chicago(IL)" 612 102503
"United Air Lines Inc." "Austin(TX) - San Antonio(TX)" 66 623
"United Air Lines Inc." "Salt Lake City(UT) - Los Angeles(CA)" 590 1754
"United Air Lines Inc." "Allentown(PA) - Philadelphia(PA)" 55 27
"United Air Lines Inc." "White Plains(NY) - Chicago(IL)" 738 23255
"United Air Lines Inc." "Lexington(KY) - Chicago(IL)" 323 30
"United Air Lines Inc." "Chicago(IL) - Palm Springs(CA)" 1652 1600
"United Air Lines Inc." "Reno(NV) - Chicago(IL)" 1671 630
"United Air Lines Inc." "Denver(CO) - Burbank(CA)" 850 15766
"United Air Lines Inc." "Chicago(IL) - White Plains(NY)" 738 24645
"United Air Lines Inc." "Denver(CO) - Cleveland(OH)" 1201 12070
"United Air Lines Inc." "Ontario(CA) - Palm Springs(CA)" 65 39
"United Air Lines Inc." "Chicago(IL) - Ontario(CA)" 1700 15517
"United Air Lines Inc." "Portland(ME) - Burlington(VT)" 153 214
"United Air Lines Inc." "Chicago(IL) - Sioux City(IA)" 436 305
"United Air Lines Inc." "Sioux City(IA) - Rapid City(SD)" 355 175
"United Air Lines Inc." "Rapid City(SD) - Sioux City(IA)" 355 177
"United Air Lines Inc." "Sioux City(IA) - Chicago(IL)" 436 1316
"United Air Lines Inc." "Denver(CO) - Orlando(FL)" 1545 23706
"United Air Lines Inc." "Moline(IL) - Denver(CO)" 751 5084
"United Air Lines Inc." "Peoria(IL) - Moline(IL)" 69 4912
"United Air Lines Inc." "Denver(CO) - Fargo(ND)" 627 1742
"United Air Lines Inc." "Denver(CO) - Houston(TX)" 861 30613
"United Air Lines Inc." "Las Vegas(NV) - Los Angeles(CA)" 236 41877
"United Air Lines Inc." "San Francisco(CA) - Las Vegas(NV)" 414 60322
"United Air Lines Inc." "San Jose(CA) - San Francisco(CA)" 30 610
"United Air Lines Inc." "Lincoln(NE) - Chicago(IL)" 466 14412
"United Air Lines Inc." "Sioux Falls(SD) - Denver(CO)" 483 10071
"United Air Lines Inc." "Charleston(WV) - Dayton(OH)" 176 30
"United Air Lines Inc." "Spokane(WA) - San Francisco(CA)" 733 16560
"United Air Lines Inc." "Seattle(WA) - Spokane(WA)" 224 3375
"United Air Lines Inc." "Chicago(IL) - Nashville(TN)" 409 14319
"United Air Lines Inc." "Chicago(IL) - Houston(TX)" 925 29118
"United Air Lines Inc." "Los Angeles(CA) - Seattle(WA)" 954 44547
"United Air Lines Inc." "Lincoln(NE) - Denver(CO)" 423 10131
"United Air Lines Inc." "Sioux City(IA) - Lincoln(NE)" 109 4026
"United Air Lines Inc." "San Francisco(CA) - San Diego(CA)" 447 69510
"United Air Lines Inc." "Akron(OH) - Charleston(WV)" 175 29
"United Air Lines Inc." "Bakersfield(CA) - Fresno(CA)" 100 30
"United Air Lines Inc." "Denver(CO) - Bakersfield(CA)" 845 30
"United Air Lines Inc." "Fresno(CA) - San Francisco(CA)" 158 517
"United Air Lines Inc." "Denver(CO) - Moline(IL)" 751 2679
"United Air Lines Inc." "Moline(IL) - Peoria(IL)" 69 2471
"United Air Lines Inc." "San Antonio(TX) - Chicago(IL)" 1041 14156
"United Air Lines Inc." "Charleston(SC) - Charlotte(NC)" 168 209
"United Air Lines Inc." "Sarasota(FL) - West Palm Beach(FL)" 159 488
"United Air Lines Inc." "Topeka(KS) - Kansas City(MO)" 56 29
"United Air Lines Inc." "Chantilly(VA) - Miami(FL)" 921 15676
"United Air Lines Inc." "Phoenix(AZ) - Ontario(CA)" 325 29
"United Air Lines Inc." "Jackson(MS) - Memphis(TN)" 189 783
"United Air Lines Inc." "West Palm Beach(FL) - Sarasota(FL)" 159 498
"United Air Lines Inc." "Nashville(TN) - Knoxville(TN)" 152 1566
"United Air Lines Inc." "Ft. Myers(FL) - Chicago(IL)" 1120 10979
"United Air Lines Inc." "Oklahoma City(OK) - Little Rock(AR)" 308 319
"United Air Lines Inc." "San Jose(CA) - Chicago(IL)" 1829 31380
"United Air Lines Inc." "Cedar Rapids(IA) - Peoria(IL)" 135 250
"United Air Lines Inc." "Denver(CO) - Cedar Rapids(IA)" 692 9156
"United Air Lines Inc." "San Francisco(CA) - Santa Barbara(CA)" 262 19983
"United Air Lines Inc." "Dayton(OH) - Charleston(WV)" 176 27
"United Air Lines Inc." "Orlando(FL) - Tampa(FL)" 80 1039
"United Air Lines Inc." "San Francisco(CA) - Cleveland(OH)" 2161 1
"United Air Lines Inc." "San Francisco(CA) - Detroit(MI)" 2079 1258
"United Air Lines Inc." "Detroit(MI) - San Francisco(CA)" 2079 1270
"United Air Lines Inc." "San Francisco(CA) - Tucson(AZ)" 751 65
"United Air Lines Inc." "Chicago(IL) - Little Rock(AR)" 552 774
"United Air Lines Inc." "Charleston(WV) - Akron(OH)" 175 29
"United Air Lines Inc." "Wilmington(NC) - Greensboro(NC)" 171 412
"United Air Lines Inc." "Eugene(OR) - San Francisco(CA)" 451 22859
"United Air Lines Inc." "San Francisco(CA) - Phoenix(AZ)" 651 36056
"United Air Lines Inc." "San Francisco(CA) - Palm Springs(CA)" 421 905
"United Air Lines Inc." "Little Rock(AR) - Oklahoma City(OK)" 308 333
"United Air Lines Inc." "Denver(CO) - Tampa(FL)" 1506 12907
"United Air Lines Inc." "Houston(TX) - Chicago(IL)" 925 28390
"United Air Lines Inc." "Bangor(ME) - Chicago(IL)" 978 511
"United Air Lines Inc." "Cleveland(OH) - Charleston(WV)" 210 67
"United Air Lines Inc." "Charleston(WV) - Chicago(IL)" 416 179
"United Air Lines Inc." "New York(NY) - Chantilly(VA)" 228 621
"United Air Lines Inc." "Chantilly(VA) - New York(NY)" 228 705
"United Air Lines Inc." "Los Angeles(CA) - San Francisco(CA)" 337 188154
"United Air Lines Inc." "Topeka(KS) - Lincoln(NE)" 143 28
"United Air Lines Inc." "Las Vegas(NV) - Sacramento(CA)" 397 1
"United Air Lines Inc." "Chantilly(VA) - Raleigh(NC)" 224 2221
"United Air Lines Inc." "Chicago(IL) - Lexington(KY)" 323 30
"United Air Lines Inc." "Colorado Springs(CO) - Denver(CO)" 72 36563
"United Air Lines Inc." "Cleveland(OH) - Chantilly(VA)" 288 5547
"United Air Lines Inc." "Orlando(FL) - Denver(CO)" 1545 24703
"United Air Lines Inc." "Denver(CO) - Atlanta(GA)" 1199 22801
"United Air Lines Inc." "Arlington(VA) - Chantilly(VA)" 24 24
"United Air Lines Inc." "Little Rock(AR) - Wichita(KS)" 354 321
"United Air Lines Inc." "Chicago(IL) - Manchester(NH)" 843 21909
"United Air Lines Inc." "Manchester(NH) - Bangor(ME)" 183 1228
"United Air Lines Inc." "Bakersfield(CA) - Denver(CO)" 845 28
"United Air Lines Inc." "Fresno(CA) - Bakersfield(CA)" 100 51
"United Air Lines Inc." "San Francisco(CA) - Fresno(CA)" 158 537
"United Air Lines Inc." "Denver(CO) - Chicago(IL)" 895 3305
"United Air Lines Inc." "Chicago(IL) - Chantilly(VA)" 577 622
"United Air Lines Inc." "Chantilly(VA) - New York(NY)" 229 26750
"United Air Lines Inc." "Chantilly(VA) - Arlington(VA)" 24 23
"United Air Lines Inc." "New York(NY) - Chantilly(VA)" 229 25042
"United Air Lines Inc." "Charleston(SC) - Chantilly(VA)" 441 3479
"United Air Lines Inc." "Chantilly(VA) - Charleston(SC)" 441 3462
"United Air Lines Inc." "Miami(FL) - Orlando(FL)" 193 7042
"United Air Lines Inc." "Miami(FL) - Chantilly(VA)" 921 15543
"United Air Lines Inc." "Wilmington(NC) - Raleigh(NC)" 122 396
"United Air Lines Inc." "Norfolk(VA) - Chantilly(VA)" 157 4711
"United Air Lines Inc." "Orlando(FL) - Miami(FL)" 193 7108
"United Air Lines Inc." "Chicago(IL) - San Antonio(TX)" 1041 14703
"United Air Lines Inc." "San Francisco(CA) - Sacramento(CA)" 86 2114
"United Air Lines Inc." "Bangor(ME) - Manchester(NH)" 183 1289
"United Air Lines Inc." "Manchester(NH) - Chicago(IL)" 843 25043
"United Air Lines Inc." "Chicago(IL) - Reno(NV)" 1671 414
"United Air Lines Inc." "Burlington(VT) - Albany(NY)" 124 4
"United Air Lines Inc." "Atlanta(GA) - Jacksonville(FL)" 270 109
"United Air Lines Inc." "Boise(ID) - Chicago(IL)" 1437 10304
"United Air Lines Inc." "Cleveland(OH) - Akron(OH)" 40 205
"United Air Lines Inc." "San Francisco(CA) - San Jose(CA)" 30 1677
"United Air Lines Inc." "Providence(RI) - Portland(ME)" 144 1231
"United Air Lines Inc." "Chicago(IL) - Denver(CO)" 895 3326
"United Air Lines Inc." "Chicago(IL) - West Palm Beach(FL)" 1144 8124
"United Air Lines Inc." "Allentown(PA) - Harrisburg(PA)" 77 1008
"United Air Lines Inc." "Tampa(FL) - Denver(CO)" 1506 12913
"United Air Lines Inc." "Tampa(FL) - Orlando(FL)" 80 1042
"United Air Lines Inc." "Sacramento(CA) - Reno(NV)" 113 30
"United Air Lines Inc." "Chantilly(VA) - Chicago(IL)" 577 618
"United Air Lines Inc." "Chicago(IL) - Chicago(IL)" 16 3
"United Air Lines Inc." "Boston(MA) - Chantilly(VA)" 413 42240
"United Air Lines Inc." "Chantilly(VA) - New Orleans(LA)" 954 13028
"United Air Lines Inc." "Chantilly(VA) - Columbia(SC)" 401 624
"United Air Lines Inc." "Raleigh(NC) - Wilmington(NC)" 122 392
"United Air Lines Inc." "Buffalo(NY) - Chantilly(VA)" 284 3703
"United Air Lines Inc." "Chantilly(VA) - Norfolk(VA)" 157 4628
"United Air Lines Inc." "Spokane(WA) - Seattle(WA)" 224 3294
"United Air Lines Inc." "Seattle(WA) - Sacramento(CA)" 605 9024
"United Air Lines Inc." "Sacramento(CA) - Los Angeles(CA)" 373 31960
"United Air Lines Inc." "Sacramento(CA) - Seattle(WA)" 605 9055
"United Air Lines Inc." "Ontario(CA) - San Francisco(CA)" 363 34719
"United Air Lines Inc." "Los Angeles(CA) - Phoenix(AZ)" 370 21718
"United Air Lines Inc." "Rochester(NY) - Chantilly(VA)" 289 8371
"United Air Lines Inc." "Columbia(SC) - Chantilly(VA)" 401 636
"United Air Lines Inc." "New Orleans(LA) - Chantilly(VA)" 954 13189
"United Air Lines Inc." "San Diego(CA) - San Francisco(CA)" 447 70386
"United Air Lines Inc." "Chantilly(VA) - Wilmington(DE)" 111 29
"United Air Lines Inc." "Redding(CA) - San Francisco(CA)" 199 177
"United Air Lines Inc." "San Francisco(CA) - Spokane(WA)" 733 16978
"United Air Lines Inc." "Ft. Myers(FL) - Chantilly(VA)" 890 1377
"United Air Lines Inc." "Chantilly(VA) - Ft. Myers(FL)" 890 1372
"United Air Lines Inc." "Palm Springs(CA) - San Francisco(CA)" 421 904
"United Air Lines Inc." "Oakland(CA) - Los Angeles(CA)" 337 38109
"United Air Lines Inc." "Ft. Lauderdale(FL) - Chantilly(VA)" 901 5933
"United Air Lines Inc." "Chantilly(VA) - Rochester(NY)" 289 7167
"United Air Lines Inc." "San Francisco(CA) - Medford(OR)" 329 18247
